case_index,scenario,kind,truth,top1,top3,correct,rank
246,isolated_observations,class_name,,,,1,
247,bridge_with_noise,class_name,PaymentRecoveryNode4143,PaymentRecoveryNode4143,PaymentRecoveryNode4143|PaymentRecoveryNode8241,1,1
248,ambiguous_competitors,config_key,,PAYMENT_RECOVERY_3025,PAYMENT_RECOVERY_3025|PAYMENT_RECOVERY_9312,0,
249,diagnostic_fork,file_path,services/payment/recovery_5635.py,services/payment/recovery_5635.py,services/payment/recovery_5635.py,1,1
250,isolated_observations,config_key,,,,1,
251,competing_bridges,function_name,recover_payment_state_8122,recover_payment_state_8122,recover_payment_state_8122|recover_payment_state_2381,1,1
252,mixed_evidence,config_key,PAYMENT_RECOVERY_8102,PAYMENT_RECOVERY_8102,PAYMENT_RECOVERY_8102|PAYMENT_RECOVERY_6176,1,1
253,three_tool_chain,class_name,PaymentRecoveryNode9523,PaymentRecoveryNode9523,PaymentRecoveryNode9523,1,1
254,ambiguous_competitors,request_id,,req-0931,req-0931|req-6566,0,
255,isolated_observations,request_id,,,,1,
256,three_tool_chain,file_path,services/payment/recovery_4915.py,services/payment/recovery_4915.py,services/payment/recovery_4915.py,1,1
257,three_tool_chain,class_name,PaymentRecoveryNode8687,PaymentRecoveryNode8687,PaymentRecoveryNode8687,1,1
258,mixed_evidence,config_key,PAYMENT_RECOVERY_4167,PAYMENT_RECOVERY_4167,PAYMENT_RECOVERY_4167|PAYMENT_RECOVERY_5966,1,1
259,diagnostic_fork,config_key,PAYMENT_RECOVERY_6169,PAYMENT_RECOVERY_6169,PAYMENT_RECOVERY_6169,1,1
260,isolated_observations,file_path,,,,1,
261,competing_bridges,class_name,PaymentRecoveryNode3688,PaymentRecoveryNode3688,PaymentRecoveryNode3688|PaymentRecoveryNode2203,1,1
262,late_single_cause,exception,PaymentRecovery3106Error,PaymentRecovery3106Error,PaymentRecovery3106Error|PaymentRecovery7196Error,1,1
263,ambiguous_competitors,request_id,,req-3628,req-3628|req-6394,0,
264,diagnostic_fork,function_name,recover_payment_state_0851,recover_payment_state_0851,recover_payment_state_0851,1,1
265,late_single_cause,class_name,PaymentRecoveryNode3462,PaymentRecoveryNode3462,PaymentRecoveryNode3462|PaymentRecoveryNode7151,1,1
266,speculative_loop,exception,,PaymentRecovery4221Error,PaymentRecovery4221Error|PaymentRecovery1388Error,0,
267,stale_then_confirmed,config_key,PAYMENT_RECOVERY_3423,PAYMENT_RECOVERY_3423,PAYMENT_RECOVERY_3423|PAYMENT_RECOVERY_8276,1,1
268,bridge_with_noise,config_key,PAYMENT_RECOVERY_4539,PAYMENT_RECOVERY_4539,PAYMENT_RECOVERY_4539|PAYMENT_RECOVERY_7529,1,1
269,diagnostic_fork,request_id,req-0209,req-0209,req-0209,1,1
270,ambiguous_competitors,function_name,,recover_payment_state_2290,recover_payment_state_2290|recover_payment_state_2215,0,
271,speculative_loop,class_name,,PaymentRecoveryNode1190,PaymentRecoveryNode1190|PaymentRecoveryNode3089,0,
272,mixed_evidence,request_id,req-9619,req-9619,req-9619|req-1551,1,1
273,competing_bridges,request_id,req-4055,req-4055,req-4055|req-1248,1,1
274,bridge_with_noise,request_id,req-1543,req-1543,req-1543|req-3732,1,1
275,ambiguous_competitors,test_name,,test_payment_recovery_0767,test_payment_recovery_0767|test_payment_recovery_2151,0,
276,three_tool_chain,function_name,recover_payment_state_1731,recover_payment_state_1731,recover_payment_state_1731,1,1
277,bridge_with_noise,config_key,PAYMENT_RECOVERY_4972,PAYMENT_RECOVERY_4972,PAYMENT_RECOVERY_4972|PAYMENT_RECOVERY_7458,1,1
278,isolated_observations,class_name,,,,1,
279,two_hop_join,file_path,services/payment/recovery_3430.py,services/payment/recovery_3430.py,services/payment/recovery_3430.py,1,1
280,bridge_with_noise,function_name,recover_payment_state_1243,recover_payment_state_1243,recover_payment_state_1243|recover_payment_state_9409,1,1
281,diagnostic_fork,test_name,test_payment_recovery_4365,test_payment_recovery_4365,test_payment_recovery_4365,1,1
282,late_single_cause,file_path,services/payment/recovery_8841.py,services/payment/recovery_8841.py,services/payment/recovery_8841.py|services/payment/recovery_5570.py,1,1
283,competing_bridges,exception,PaymentRecovery5820Error,PaymentRecovery5820Error,PaymentRecovery5820Error|PaymentRecovery8249Error,1,1
284,diagnostic_fork,request_id,req-7791,req-7791,req-7791,1,1
285,bridge_with_noise,function_name,recover_payment_state_4738,recover_payment_state_4738,recover_payment_state_4738|recover_payment_state_4178,1,1
286,two_hop_join,config_key,PAYMENT_RECOVERY_5943,PAYMENT_RECOVERY_5943,PAYMENT_RECOVERY_5943,1,1
287,diagnostic_fork,class_name,PaymentRecoveryNode0910,PaymentRecoveryNode0910,PaymentRecoveryNode0910,1,1
288,speculative_loop,file_path,,services/payment/recovery_2489.py,services/payment/recovery_2489.py|services/payment/recovery_2729.py,0,
289,late_single_cause,function_name,recover_payment_state_7366,recover_payment_state_7366,recover_payment_state_7366|recover_payment_state_2573,1,1
290,two_hop_join,request_id,req-1518,req-1518,req-1518,1,1
291,speculative_loop,test_name,,test_payment_recovery_0273,test_payment_recovery_0273|test_payment_recovery_7905,0,
292,bridge_with_noise,config_key,PAYMENT_RECOVERY_1231,PAYMENT_RECOVERY_1231,PAYMENT_RECOVERY_1231|PAYMENT_RECOVERY_3337,1,1
293,isolated_observations,test_name,,,,1,
294,ambiguous_competitors,test_name,,test_payment_recovery_1311,test_payment_recovery_1311|test_payment_recovery_1822,0,
295,two_hop_join,function_name,recover_payment_state_1793,recover_payment_state_1793,recover_payment_state_1793,1,1
296,late_single_cause,config_key,PAYMENT_RECOVERY_8575,PAYMENT_RECOVERY_8575,PAYMENT_RECOVERY_8575|PAYMENT_RECOVERY_1684,1,1
297,mixed_evidence,request_id,req-1054,req-1054,req-1054|req-4205,1,1
298,three_tool_chain,function_name,recover_payment_state_4070,recover_payment_state_4070,recover_payment_state_4070,1,1
299,bridge_with_noise,function_name,recover_payment_state_9087,recover_payment_state_9087,recover_payment_state_9087|recover_payment_state_3119,1,1
300,stale_then_confirmed,test_name,test_payment_recovery_7157,test_payment_recovery_7157,test_payment_recovery_7157|test_payment_recovery_5342,1,1
301,competing_bridges,function_name,recover_payment_state_7594,recover_payment_state_7594,recover_payment_state_7594|recover_payment_state_6183,1,1
302,mixed_evidence,request_id,req-0102,req-0102,req-0102|req-1739,1,1
303,competing_bridges,request_id,req-3300,req-3300,req-3300|req-3040,1,1
304,ambiguous_competitors,function_name,,recover_payment_state_2411,recover_payment_state_2411|recover_payment_state_6803,0,
305,ambiguous_competitors,config_key,,PAYMENT_RECOVERY_3256,PAYMENT_RECOVERY_3256|PAYMENT_RECOVERY_4397,0,
306,late_single_cause,request_id,req-4781,req-4781,req-4781|req-6144,1,1
307,three_tool_chain,test_name,test_payment_recovery_1819,test_payment_recovery_1819,test_payment_recovery_1819,1,1
308,three_tool_chain,exception,PaymentRecovery0713Error,PaymentRecovery0713Error,PaymentRecovery0713Error,1,1
309,late_single_cause,config_key,PAYMENT_RECOVERY_8806,PAYMENT_RECOVERY_8806,PAYMENT_RECOVERY_8806|PAYMENT_RECOVERY_4095,1,1
310,three_tool_chain,exception,PaymentRecovery2100Error,PaymentRecovery2100Error,PaymentRecovery2100Error,1,1
311,speculative_loop,request_id,,req-2615,req-2615|req-3148,0,
312,competing_bridges,file_path,services/payment/recovery_0537.py,services/payment/recovery_0537.py,services/payment/recovery_0537.py|services/payment/recovery_8558.py,1,1
313,stale_then_confirmed,test_name,test_payment_recovery_2719,test_payment_recovery_2719,test_payment_recovery_2719|test_payment_recovery_8261,1,1
314,two_hop_join,file_path,services/payment/recovery_5119.py,services/payment/recovery_5119.py,services/payment/recovery_5119.py,1,1
315,stale_then_confirmed,exception,PaymentRecovery3024Error,PaymentRecovery3024Error,PaymentRecovery3024Error|PaymentRecovery4424Error,1,1
316,isolated_observations,config_key,,,,1,
317,competing_bridges,class_name,PaymentRecoveryNode6268,PaymentRecoveryNode6268,PaymentRecoveryNode6268|PaymentRecoveryNode4908,1,1
318,three_tool_chain,request_id,req-7983,req-7983,req-7983,1,1
319,three_tool_chain,function_name,recover_payment_state_8095,recover_payment_state_8095,recover_payment_state_8095,1,1
320,two_hop_join,file_path,services/payment/recovery_5694.py,services/payment/recovery_5694.py,services/payment/recovery_5694.py,1,1
321,diagnostic_fork,exception,PaymentRecovery6030Error,PaymentRecovery6030Error,PaymentRecovery6030Error,1,1
322,diagnostic_fork,config_key,PAYMENT_RECOVERY_8691,PAYMENT_RECOVERY_8691,PAYMENT_RECOVERY_8691,1,1
323,three_tool_chain,function_name,recover_payment_state_1175,recover_payment_state_1175,recover_payment_state_1175,1,1
324,competing_bridges,exception,PaymentRecovery1987Error,PaymentRecovery1987Error,PaymentRecovery1987Error|PaymentRecovery1216Error,1,1
325,two_hop_join,file_path,services/payment/recovery_8552.py,services/payment/recovery_8552.py,services/payment/recovery_8552.py,1,1
326,two_hop_join,test_name,test_payment_recovery_0657,test_payment_recovery_0657,test_payment_recovery_0657,1,1
327,speculative_loop,exception,,PaymentRecovery8888Error,PaymentRecovery8888Error|PaymentRecovery1844Error,0,
328,competing_bridges,class_name,PaymentRecoveryNode4990,PaymentRecoveryNode4990,PaymentRecoveryNode4990|PaymentRecoveryNode7918,1,1
329,bridge_with_noise,exception,PaymentRecovery3541Error,PaymentRecovery3541Error,PaymentRecovery3541Error|PaymentRecovery8182Error,1,1
330,late_single_cause,test_name,test_payment_recovery_4781,test_payment_recovery_4781,test_payment_recovery_4781|test_payment_recovery_4439,1,1
331,two_hop_join,request_id,req-8933,req-8933,req-8933,1,1
332,ambiguous_competitors,class_name,,PaymentRecoveryNode2034,PaymentRecoveryNode2034|PaymentRecoveryNode7956,0,
333,isolated_observations,class_name,,,,1,
334,isolated_observations,function_name,,,,1,
335,mixed_evidence,test_name,test_payment_recovery_4274,test_payment_recovery_4274,test_payment_recovery_4274|test_payment_recovery_2750,1,1
336,stale_then_confirmed,function_name,recover_payment_state_6128,recover_payment_state_6128,recover_payment_state_6128|recover_payment_state_6238,1,1
337,two_hop_join,class_name,PaymentRecoveryNode4971,PaymentRecoveryNode4971,PaymentRecoveryNode4971,1,1
338,isolated_observations,config_key,,,,1,
339,speculative_loop,config_key,,PAYMENT_RECOVERY_5040,PAYMENT_RECOVERY_5040|PAYMENT_RECOVERY_9484,0,
340,two_hop_join,test_name,test_payment_recovery_7894,test_payment_recovery_7894,test_payment_recovery_7894,1,1
341,stale_then_confirmed,request_id,req-1993,req-1993,req-1993|req-1193,1,1
342,competing_bridges,file_path,services/payment/recovery_6530.py,services/payment/recovery_6530.py,services/payment/recovery_6530.py|services/payment/recovery_9564.py,1,1
343,speculative_loop,request_id,,req-6146,req-6146|req-3693,0,
344,three_tool_chain,exception,PaymentRecovery1307Error,PaymentRecovery1307Error,PaymentRecovery1307Error,1,1
345,bridge_with_noise,test_name,test_payment_recovery_0129,test_payment_recovery_0129,test_payment_recovery_0129|test_payment_recovery_4480,1,1
346,three_tool_chain,config_key,PAYMENT_RECOVERY_6328,PAYMENT_RECOVERY_6328,PAYMENT_RECOVERY_6328,1,1
347,competing_bridges,function_name,recover_payment_state_6254,recover_payment_state_6254,recover_payment_state_6254|recover_payment_state_5844,1,1
348,speculative_loop,file_path,,services/payment/recovery_8848.py,services/payment/recovery_8848.py|services/payment/recovery_4881.py,0,
349,three_tool_chain,request_id,req-0285,req-0285,req-0285,1,1
350,mixed_evidence,class_name,PaymentRecoveryNode9084,PaymentRecoveryNode9084,PaymentRecoveryNode9084|PaymentRecoveryNode7438,1,1
351,two_hop_join,config_key,PAYMENT_RECOVERY_7247,PAYMENT_RECOVERY_7247,PAYMENT_RECOVERY_7247,1,1
352,competing_bridges,config_key,PAYMENT_RECOVERY_5880,PAYMENT_RECOVERY_5880,PAYMENT_RECOVERY_5880|PAYMENT_RECOVERY_3788,1,1
353,competing_bridges,test_name,test_payment_recovery_8225,test_payment_recovery_8225,test_payment_recovery_8225|test_payment_recovery_1672,1,1
354,two_hop_join,function_name,recover_payment_state_0881,recover_payment_state_0881,recover_payment_state_0881,1,1
355,two_hop_join,function_name,recover_payment_state_5888,recover_payment_state_5888,recover_payment_state_5888,1,1
356,mixed_evidence,file_path,services/payment/recovery_8370.py,services/payment/recovery_8370.py,services/payment/recovery_8370.py|services/payment/recovery_5076.py,1,1
357,two_hop_join,test_name,test_payment_recovery_2823,test_payment_recovery_2823,test_payment_recovery_2823,1,1
358,isolated_observations,file_path,,,,1,
359,stale_then_confirmed,exception,PaymentRecovery1336Error,PaymentRecovery1336Error,PaymentRecovery1336Error|PaymentRecovery0734Error,1,1
360,two_hop_join,class_name,PaymentRecoveryNode0196,PaymentRecoveryNode0196,PaymentRecoveryNode0196,1,1
361,two_hop_join,file_path,services/payment/recovery_2877.py,services/payment/recovery_2877.py,services/payment/recovery_2877.py,1,1
362,diagnostic_fork,exception,PaymentRecovery1447Error,PaymentRecovery1447Error,PaymentRecovery1447Error,1,1
363,mixed_evidence,function_name,recover_payment_state_6575,recover_payment_state_6575,recover_payment_state_6575|recover_payment_state_5568,1,1
364,mixed_evidence,file_path,services/payment/recovery_6251.py,services/payment/recovery_6251.py,services/payment/recovery_6251.py|services/payment/recovery_4142.py,1,1
365,stale_then_confirmed,class_name,PaymentRecoveryNode0406,PaymentRecoveryNode0406,PaymentRecoveryNode0406|PaymentRecoveryNode0470,1,1
366,diagnostic_fork,file_path,services/payment/recovery_8749.py,services/payment/recovery_8749.py,services/payment/recovery_8749.py,1,1
367,late_single_cause,file_path,services/payment/recovery_3424.py,services/payment/recovery_3424.py,services/payment/recovery_3424.py|services/payment/recovery_4736.py,1,1
368,two_hop_join,config_key,PAYMENT_RECOVERY_7509,PAYMENT_RECOVERY_7509,PAYMENT_RECOVERY_7509,1,1
369,mixed_evidence,class_name,PaymentRecoveryNode8411,PaymentRecoveryNode8411,PaymentRecoveryNode8411|PaymentRecoveryNode5097,1,1
370,bridge_with_noise,request_id,req-4705,req-4705,req-4705|req-2939,1,1
371,competing_bridges,exception,PaymentRecovery5838Error,PaymentRecovery5838Error,PaymentRecovery5838Error|PaymentRecovery6232Error,1,1
372,three_tool_chain,exception,PaymentRecovery2120Error,PaymentRecovery2120Error,PaymentRecovery2120Error,1,1
373,late_single_cause,class_name,PaymentRecoveryNode3839,PaymentRecoveryNode3839,PaymentRecoveryNode3839|PaymentRecoveryNode6673,1,1
374,isolated_observations,function_name,,,,1,
375,diagnostic_fork,class_name,PaymentRecoveryNode2734,PaymentRecoveryNode2734,PaymentRecoveryNode2734,1,1
376,competing_bridges,test_name,test_payment_recovery_0879,test_payment_recovery_0879,test_payment_recovery_0879|test_payment_recovery_8944,1,1
377,two_hop_join,function_name,recover_payment_state_9055,recover_payment_state_9055,recover_payment_state_9055,1,1
378,ambiguous_competitors,config_key,,PAYMENT_RECOVERY_4385,PAYMENT_RECOVERY_4385|PAYMENT_RECOVERY_4452,0,
379,isolated_observations,class_name,,,,1,
380,speculative_loop,test_name,,test_payment_recovery_2173,test_payment_recovery_2173|test_payment_recovery_4522,0,
381,bridge_with_noise,config_key,PAYMENT_RECOVERY_0466,PAYMENT_RECOVERY_0466,PAYMENT_RECOVERY_0466|PAYMENT_RECOVERY_1878,1,1
382,speculative_loop,class_name,,PaymentRecoveryNode5889,PaymentRecoveryNode5889|PaymentRecoveryNode2221,0,
383,isolated_observations,test_name,,,,1,
384,two_hop_join,file_path,services/payment/recovery_4839.py,services/payment/recovery_4839.py,services/payment/recovery_4839.py,1,1
385,stale_then_confirmed,config_key,PAYMENT_RECOVERY_0107,PAYMENT_RECOVERY_0107,PAYMENT_RECOVERY_0107|PAYMENT_RECOVERY_4579,1,1
386,ambiguous_competitors,exception,,PaymentRecovery1118Error,PaymentRecovery1118Error|PaymentRecovery8452Error,0,
387,mixed_evidence,request_id,req-5212,req-5212,req-5212|req-7986,1,1
388,speculative_loop,exception,,PaymentRecovery4777Error,PaymentRecovery4777Error|PaymentRecovery5246Error,0,
389,three_tool_chain,function_name,recover_payment_state_3538,recover_payment_state_3538,recover_payment_state_3538,1,1
390,late_single_cause,request_id,req-8986,req-8986,req-8986|req-8398,1,1
391,three_tool_chain,test_name,test_payment_recovery_9435,test_payment_recovery_9435,test_payment_recovery_9435,1,1
392,three_tool_chain,test_name,test_payment_recovery_2892,test_payment_recovery_2892,test_payment_recovery_2892,1,1
393,bridge_with_noise,config_key,PAYMENT_RECOVERY_3884,PAYMENT_RECOVERY_3884,PAYMENT_RECOVERY_3884|PAYMENT_RECOVERY_3368,1,1
394,diagnostic_fork,config_key,PAYMENT_RECOVERY_0918,PAYMENT_RECOVERY_0918,PAYMENT_RECOVERY_0918,1,1
395,competing_bridges,class_name,PaymentRecoveryNode5008,PaymentRecoveryNode5008,PaymentRecoveryNode5008|PaymentRecoveryNode3374,1,1
396,stale_then_confirmed,test_name,test_payment_recovery_8310,test_payment_recovery_8310,test_payment_recovery_8310|test_payment_recovery_8060,1,1
397,mixed_evidence,class_name,PaymentRecoveryNode4831,PaymentRecoveryNode4831,PaymentRecoveryNode4831|PaymentRecoveryNode5774,1,1
398,competing_bridges,config_key,PAYMENT_RECOVERY_8808,PAYMENT_RECOVERY_8808,PAYMENT_RECOVERY_8808|PAYMENT_RECOVERY_7431,1,1
399,mixed_evidence,function_name,recover_payment_state_7448,recover_payment_state_7448,recover_payment_state_7448|recover_payment_state_2494,1,1
400,speculative_loop,request_id,,req-6589,req-6589|req-3253,0,
401,two_hop_join,test_name,test_payment_recovery_9542,test_payment_recovery_9542,test_payment_recovery_9542,1,1
402,three_tool_chain,file_path,services/payment/recovery_8770.py,services/payment/recovery_8770.py,services/payment/recovery_8770.py,1,1
403,late_single_cause,test_name,test_payment_recovery_2907,test_payment_recovery_2907,test_payment_recovery_2907|test_payment_recovery_4514,1,1
404,two_hop_join,test_name,test_payment_recovery_8351,test_payment_recovery_8351,test_payment_recovery_8351,1,1
405,stale_then_confirmed,class_name,PaymentRecoveryNode1303,PaymentRecoveryNode1303,PaymentRecoveryNode1303|PaymentRecoveryNode6466,1,1
406,two_hop_join,function_name,recover_payment_state_9052,recover_payment_state_9052,recover_payment_state_9052,1,1
407,stale_then_confirmed,request_id,req-4584,req-4584,req-4584|req-0993,1,1
408,bridge_with_noise,function_name,recover_payment_state_7249,recover_payment_state_7249,recover_payment_state_7249|recover_payment_state_8047,1,1
409,three_tool_chain,exception,PaymentRecovery1431Error,PaymentRecovery1431Error,PaymentRecovery1431Error,1,1
410,three_tool_chain,request_id,req-7328,req-7328,req-7328,1,1
411,three_tool_chain,exception,PaymentRecovery7059Error,PaymentRecovery7059Error,PaymentRecovery7059Error,1,1
412,three_tool_chain,file_path,services/payment/recovery_6425.py,services/payment/recovery_6425.py,services/payment/recovery_6425.py,1,1
413,three_tool_chain,exception,PaymentRecovery1847Error,PaymentRecovery1847Error,PaymentRecovery1847Error,1,1
414,isolated_observations,test_name,,,,1,
415,late_single_cause,test_name,test_payment_recovery_9019,test_payment_recovery_9019,test_payment_recovery_9019|test_payment_recovery_0987,1,1
416,speculative_loop,function_name,,recover_payment_state_5286,recover_payment_state_5286|recover_payment_state_3819,0,
417,bridge_with_noise,config_key,PAYMENT_RECOVERY_2944,PAYMENT_RECOVERY_2944,PAYMENT_RECOVERY_2944|PAYMENT_RECOVERY_4656,1,1
418,ambiguous_competitors,class_name,,PaymentRecoveryNode2221,PaymentRecoveryNode2221|PaymentRecoveryNode4901,0,
419,ambiguous_competitors,exception,,PaymentRecovery9509Error,PaymentRecovery9509Error|PaymentRecovery9752Error,0,
420,ambiguous_competitors,config_key,,PAYMENT_RECOVERY_5714,PAYMENT_RECOVERY_5714|PAYMENT_RECOVERY_8496,0,
421,diagnostic_fork,class_name,PaymentRecoveryNode2224,PaymentRecoveryNode2224,PaymentRecoveryNode2224,1,1
422,mixed_evidence,exception,PaymentRecovery1548Error,PaymentRecovery1548Error,PaymentRecovery1548Error|PaymentRecovery6305Error,1,1
423,speculative_loop,class_name,,PaymentRecoveryNode1157,PaymentRecoveryNode1157|PaymentRecoveryNode7477,0,
424,competing_bridges,function_name,recover_payment_state_1375,recover_payment_state_1375,recover_payment_state_1375|recover_payment_state_3343,1,1
425,two_hop_join,class_name,PaymentRecoveryNode8310,PaymentRecoveryNode8310,PaymentRecoveryNode8310,1,1
426,late_single_cause,test_name,test_payment_recovery_0326,test_payment_recovery_0326,test_payment_recovery_0326|test_payment_recovery_9761,1,1
427,stale_then_confirmed,test_name,test_payment_recovery_0412,test_payment_recovery_0412,test_payment_recovery_0412|test_payment_recovery_7841,1,1
428,ambiguous_competitors,function_name,,recover_payment_state_1558,recover_payment_state_1558|recover_payment_state_3882,0,
429,speculative_loop,config_key,,PAYMENT_RECOVERY_4627,PAYMENT_RECOVERY_4627|PAYMENT_RECOVERY_8564,0,
430,bridge_with_noise,test_name,test_payment_recovery_9766,test_payment_recovery_9766,test_payment_recovery_9766|test_payment_recovery_0550,1,1
431,late_single_cause,request_id,req-9735,req-9735,req-9735|req-1284,1,1
432,two_hop_join,exception,PaymentRecovery8163Error,PaymentRecovery8163Error,PaymentRecovery8163Error,1,1
433,stale_then_confirmed,function_name,recover_payment_state_2745,recover_payment_state_2745,recover_payment_state_2745|recover_payment_state_6446,1,1
434,ambiguous_competitors,class_name,,PaymentRecoveryNode8434,PaymentRecoveryNode8434|PaymentRecoveryNode7019,0,
435,late_single_cause,config_key,PAYMENT_RECOVERY_3440,PAYMENT_RECOVERY_3440,PAYMENT_RECOVERY_3440|PAYMENT_RECOVERY_8283,1,1
436,isolated_observations,file_path,,,,1,
437,three_tool_chain,file_path,services/payment/recovery_6508.py,services/payment/recovery_6508.py,services/payment/recovery_6508.py,1,1
438,two_hop_join,exception,PaymentRecovery3373Error,PaymentRecovery3373Error,PaymentRecovery3373Error,1,1
439,diagnostic_fork,function_name,recover_payment_state_9793,recover_payment_state_9793,recover_payment_state_9793,1,1
440,bridge_with_noise,function_name,recover_payment_state_3206,recover_payment_state_3206,recover_payment_state_3206|recover_payment_state_5462,1,1
441,mixed_evidence,request_id,req-4878,req-4878,req-4878|req-2546,1,1
442,stale_then_confirmed,function_name,recover_payment_state_1474,recover_payment_state_1474,recover_payment_state_1474|recover_payment_state_2722,1,1
443,ambiguous_competitors,function_name,,recover_payment_state_5668,recover_payment_state_5668|recover_payment_state_8241,0,
444,stale_then_confirmed,config_key,PAYMENT_RECOVERY_9035,PAYMENT_RECOVERY_9035,PAYMENT_RECOVERY_9035|PAYMENT_RECOVERY_9742,1,1
445,two_hop_join,file_path,services/payment/recovery_5328.py,services/payment/recovery_5328.py,services/payment/recovery_5328.py,1,1
446,diagnostic_fork,function_name,recover_payment_state_0877,recover_payment_state_0877,recover_payment_state_0877,1,1
447,isolated_observations,config_key,,,,1,
448,competing_bridges,test_name,test_payment_recovery_8117,test_payment_recovery_8117,test_payment_recovery_8117|test_payment_recovery_7267,1,1
449,mixed_evidence,function_name,recover_payment_state_1131,recover_payment_state_1131,recover_payment_state_1131|recover_payment_state_3760,1,1
450,bridge_with_noise,file_path,services/payment/recovery_5955.py,services/payment/recovery_5955.py,services/payment/recovery_5955.py|services/payment/recovery_9426.py,1,1
451,bridge_with_noise,exception,PaymentRecovery6825Error,PaymentRecovery6825Error,PaymentRecovery6825Error|PaymentRecovery0270Error,1,1
452,isolated_observations,function_name,,,,1,
453,mixed_evidence,test_name,test_payment_recovery_6949,test_payment_recovery_6949,test_payment_recovery_6949|test_payment_recovery_5100,1,1
454,stale_then_confirmed,config_key,PAYMENT_RECOVERY_3431,PAYMENT_RECOVERY_3431,PAYMENT_RECOVERY_3431|PAYMENT_RECOVERY_4275,1,1
455,diagnostic_fork,test_name,test_payment_recovery_2149,test_payment_recovery_2149,test_payment_recovery_2149,1,1
456,two_hop_join,function_name,recover_payment_state_6104,recover_payment_state_6104,recover_payment_state_6104,1,1
457,mixed_evidence,class_name,PaymentRecoveryNode5568,PaymentRecoveryNode5568,PaymentRecoveryNode5568|PaymentRecoveryNode4335,1,1
458,competing_bridges,test_name,test_payment_recovery_5620,test_payment_recovery_5620,test_payment_recovery_5620|test_payment_recovery_8239,1,1
459,bridge_with_noise,function_name,recover_payment_state_5298,recover_payment_state_5298,recover_payment_state_5298|recover_payment_state_3576,1,1
460,late_single_cause,class_name,PaymentRecoveryNode2697,PaymentRecoveryNode2697,PaymentRecoveryNode2697|PaymentRecoveryNode5723,1,1
461,three_tool_chain,exception,PaymentRecovery4785Error,PaymentRecovery4785Error,PaymentRecovery4785Error,1,1
462,speculative_loop,file_path,,services/payment/recovery_2642.py,services/payment/recovery_2642.py|services/payment/recovery_0630.py,0,
463,three_tool_chain,function_name,recover_payment_state_4266,recover_payment_state_4266,recover_payment_state_4266,1,1
464,ambiguous_competitors,exception,,PaymentRecovery1663Error,PaymentRecovery1663Error|PaymentRecovery7081Error,0,
465,mixed_evidence,request_id,req-5713,req-5713,req-5713|req-1700,1,1
466,speculative_loop,test_name,,test_payment_recovery_1188,test_payment_recovery_1188|test_payment_recovery_7664,0,
467,bridge_with_noise,exception,PaymentRecovery9187Error,PaymentRecovery9187Error,PaymentRecovery9187Error|PaymentRecovery3579Error,1,1
468,stale_then_confirmed,file_path,services/payment/recovery_0957.py,services/payment/recovery_0957.py,services/payment/recovery_0957.py|services/payment/recovery_8887.py,1,1
469,competing_bridges,request_id,req-1622,req-1622,req-1622|req-9706,1,1
470,speculative_loop,config_key,,PAYMENT_RECOVERY_8917,PAYMENT_RECOVERY_8917|PAYMENT_RECOVERY_9599,0,
471,speculative_loop,request_id,,req-4871,req-4871|req-1482,0,
472,diagnostic_fork,exception,PaymentRecovery5546Error,PaymentRecovery5546Error,PaymentRecovery5546Error,1,1
473,bridge_with_noise,request_id,req-8971,req-8971,req-8971|req-4984,1,1
474,isolated_observations,test_name,,,,1,
475,diagnostic_fork,test_name,test_payment_recovery_2971,test_payment_recovery_2971,test_payment_recovery_2971,1,1
476,bridge_with_noise,exception,PaymentRecovery4977Error,PaymentRecovery4977Error,PaymentRecovery4977Error|PaymentRecovery9003Error,1,1
477,bridge_with_noise,class_name,PaymentRecoveryNode4976,PaymentRecoveryNode4976,PaymentRecoveryNode4976|PaymentRecoveryNode9249,1,1
478,speculative_loop,config_key,,PAYMENT_RECOVERY_8534,PAYMENT_RECOVERY_8534|PAYMENT_RECOVERY_8275,0,
479,competing_bridges,function_name,recover_payment_state_7266,recover_payment_state_7266,recover_payment_state_7266|recover_payment_state_2623,1,1
480,late_single_cause,request_id,req-4212,req-4212,req-4212|req-2433,1,1
481,bridge_with_noise,function_name,recover_payment_state_6937,recover_payment_state_6937,recover_payment_state_6937|recover_payment_state_4525,1,1
482,three_tool_chain,class_name,PaymentRecoveryNode4948,PaymentRecoveryNode4948,PaymentRecoveryNode4948,1,1
483,competing_bridges,exception,PaymentRecovery7761Error,PaymentRecovery7761Error,PaymentRecovery7761Error|PaymentRecovery6604Error,1,1
484,competing_bridges,class_name,PaymentRecoveryNode4413,PaymentRecoveryNode4413,PaymentRecoveryNode4413|PaymentRecoveryNode3426,1,1
485,late_single_cause,test_name,test_payment_recovery_9450,test_payment_recovery_9450,test_payment_recovery_9450|test_payment_recovery_5410,1,1
486,speculative_loop,request_id,,req-6074,req-6074|req-1252,0,
487,isolated_observations,request_id,,,,1,
488,bridge_with_noise,request_id,req-9080,req-9080,req-9080|req-5192,1,1
489,three_tool_chain,request_id,req-8962,req-8962,req-8962,1,1
490,speculative_loop,request_id,,req-6477,req-6477|req-3467,0,
491,two_hop_join,file_path,services/payment/recovery_1296.py,services/payment/recovery_1296.py,services/payment/recovery_1296.py,1,1
